username,main_category,subcategory,text_hook,length,views,likes,comments,shares,outlier_multiplier,uploaded_at,ad_link,caption,platform
duolingo,Education,Language Learning,Ootoko,6,82200000,12400000,82700,1800000,51.375,2024-11-27,https://www.tiktok.com/@duolingo/video/7442035974961433899,adding this lesson to the app #queennevercry #WEBTOON #kisisters #duolingo,tiktok
duolingo,Education,Language Learning,Gegagedigedagedago,7,68400000,6600000,136500,186500,42.75,2024-01-31,https://www.tiktok.com/@duolingo/video/7330270713305255210,Fix bugs and add something new ❌ Make gegagedigedagedago ✔️ #duolingo #gegagedigegagedado #languagelearning ,tiktok
duolingo,Education,Language Learning,when you ignore my notifications,11,66200000,6700000,187300,157300,41.375,2024-01-10,https://www.tiktok.com/@duolingo/video/7322213798037687598,sad g(owl) hours #duoplushie #duolingo #languagelearning #emo ,tiktok
duolingo,Education,Language Learning,end your streak and i'll end you,0,53100000,9400000,138200,4400000,33.1875,2024-08-28,https://www.tiktok.com/@duolingo/photo/7408280741471341870,a gentle reminder 🥰,tiktok
duolingo,Education,Language Learning,There is no text in the image.,9,51100000,6900000,87300,656000,31.9375,2024-04-11,https://www.tiktok.com/@duolingo/video/7356347957186219306,🤫🧏‍♂️ #duolingo #mewing #fyp ,tiktok
_readingcom,Education,Early Childhood Learning,not fit in. He is not just like a horse. He,74,40600000,138100,653,26200,41726.61871,2023-12-26,https://www.tiktok.com/@_readingcom/video/7316794673836887342,"When it clicks for your kiddo and your parent heart just wants to burst🥹❤️ Great job, little one! #readingapp #learntoread #parentsoftiktok",tiktok
duolingo,Education,Language Learning,There is no text or emojis on top of the image.,14,37600000,5200000,120900,704600,23.5,2024-12-28,https://www.tiktok.com/@duolingo/video/7453478762508733727,in my pink guard era 💖🦉 #squidgame2 ,tiktok
speech_blubs,Education,Early Childhood Learning,My son is 2 years old and already knows ABC😍👏,24,32300000,116000,1237,13300,10258.85342,2022-10-11,https://www.tiktok.com/@speech_blubs/video/7153192258601340166,Is your child still not talking?,tiktok
duolingo,Education,Language Learning,i took my wig off for you and everything,5,30700000,1100000,22000,43000,19.1875,2025-01-19,https://www.tiktok.com/@duolingo/video/7461701235939347758,Hannah Montana who #duolingo #tiktokban ,tiktok
duolingo,Education,Language Learning,Feel like giving up?,0,29000000,4100000,68500,141800,18.125,2024-02-09,https://www.tiktok.com/@duolingo/photo/7333292290405911851,hylian is next 🚀 #duolingo #languagelearning #link #zelda,tiktok
duolingo,Education,Language Learning,123 Last chance! 123 Save your streak! 123 Don't let it break! 123 Last chance!,0,28700000,4800000,37500,237000,17.9375,2024-07-30,https://www.tiktok.com/@duolingo/photo/7397088816730787103,"what can i say, im multifaceted #duolingo #doublelife #languagelearning",tiktok
duolingo,Education,Language Learning,0% Duo 😔,10,28400000,2600000,48600,44500,17.75,2024-03-07,https://www.tiktok.com/@duolingo/video/7343313128215694634,duo levels😱 which is best???? #fyp #roblox #duolingo #languagelearning ,tiktok
duolingo,Education,Language Learning,"And with that, the TikTok era comes to an end",22,27900000,1900000,32300,73600,17.4375,2025-01-17,https://www.tiktok.com/@duolingo/video/7460972535832644907,hope we don’t regret posting this on Monday! #duolingo #tiktokban ,tiktok
duolingo,Education,Language Learning,Since TikTok is actually getting banned there's one more secret I have to share with you,9,26800000,2600000,30900,175900,16.75,2025-01-17,https://www.tiktok.com/@duolingo/video/7460960026816007467,roll the end credits #duolingo #mascotreveal ,tiktok
duolingo,Education,Language Learning,duolingo,5,25500000,3700000,106000,164900,15.9375,2024-02-24,https://www.tiktok.com/@duolingo/video/7338921183116627243,#babatrend #duolingo ,tiktok
kadama,Education,Study Aids & Flashcards,Secrets your teachers don't want you to know,12,23900000,2000000,8055,187300,114.2720536,2021-08-11,https://www.tiktok.com/@kadama/video/6994865991238946054,Essays are the worst assignment no 🧢 #schoolhacks #lifehacks #collegehacks #studyhacks #studytips,tiktok
duolingo,Education,Language Learning,"forced to say ""wsg bro""",0,22400000,3500000,55500,61400,14,2024-02-27,https://www.tiktok.com/@duolingo/photo/7339976499644140843,#duolingo #nyaitchinisannyaarigato,tiktok
picsolve,Education,AI Study Tools,"Picsolve can do everything else:  Hmm, that doesn't look right  Photomath for everything but math",7,22000000,2400000,5079,65900,3157.743649,2023-02-09,https://www.tiktok.com/@picsolve/video/7198023326378364203,#CapCut #photomath #picsolve #chatgpt ,tiktok
duolingo,Education,Language Learning,do your duolingo,5,21900000,1900000,74700,116200,13.6875,2024-02-12,https://www.tiktok.com/@duolingo/video/7334518997305593130,need another look at my 🍑from the super bowl?! #SuperbOwl,tiktok
kadama,Education,Study Aids & Flashcards,instagram now has profile views no one is safe... 😩,6,21000000,161600,4511,82200,100.4064069,2023-01-16,https://www.tiktok.com/@kadama/video/7189349638590303534,@kadama ABSOLUTELY NOT! 😩 (ps: search kadama app on App Store) #instagram #instagramhack #lifehack ,tiktok
parkeur.app,Education,Study Aids & Flashcards,Fiche de révision en 3s,13,20900000,352300,303,29300,47.7060032,2024-08-28,https://www.tiktok.com/@parkeur.app/video/7408124551093095713,Benef 🤡,tiktok
duolingo,Education,Language Learning,...with those eyes 😍,0,19800000,3100000,38800,36600,12.375,2024-02-01,https://www.tiktok.com/@duolingo/photo/7330639210308717866,ill be your little chicken dumpling #duolingo #languagelearning #jeremyallenwhite  IB: @🎀 ,tiktok
quizard.ai,Education,AI Study Tools,college literally isn’t real anymore😭,12,19400000,610900,2175,37800,1630.252101,2024-11-30,https://www.tiktok.com/@quizard.ai/video/7443184838179294495,bruh💀#studentlife #college #ai ,tiktok
duolingo,Education,Language Learning,Duolingo oiled up,23,19000000,2400000,51700,111500,11.875,2024-03-04,https://www.tiktok.com/@duolingo/video/7342531041959169326,it’s finally here. your turn to oil up. #duolingo #oiledup  IB: @Opera GX ,tiktok
kadama,Education,Study Aids & Flashcards,There is no way this is possible,20,18200000,529800,1846,10600,87.01888597,2023-01-12,https://www.tiktok.com/@kadama/video/7187902388924124462,@kadama iPhone trick that will blow your mind 🤯 #iphonetricks #iphonetips ,tiktok
kadama,Education,Study Aids & Flashcards,Secrets your teachers don’t want you to know,14,18000000,2400000,18500,218700,86.06263447,2021-08-07,https://www.tiktok.com/@kadama/video/6993376965482810630,your grades after this 📈📈📈 #schoolhacks #lifehacks #collegehacks #studyhacks,tiktok
duolingo,Education,Language Learning,There is no text or emojis in this image.,85,17300000,1600000,26200,387200,10.8125,2023-03-31,https://www.tiktok.com/@duolingo/video/7216726204508818731,"The most unhinged reality TV show yet, hosted by yours truly 😘 Love Language, a new @Duolingo and @peacock original series where sexy singles share a house in paradise in hopes of finding true love.  The catch? None of them speak the same language. #duolingo #peacockoriginal #languagelearning #dulapeep #realitytv ",tiktok
duolingo,Education,Language Learning,when you lose your verification so you have to actually teach languages,5,17200000,2600000,98500,37700,10.75,2024-06-13,https://www.tiktok.com/@duolingo/video/7379705345733709102,“justice for duolingo” we all say in unison #duolingo #verified #languagelearning ,tiktok
kadama,Education,Study Aids & Flashcards,iPhone 14 Pro iPhone XR which is faster?,6,16900000,149200,545,2163,80.80325126,2022-11-17,https://www.tiktok.com/@kadama/video/7167107454474603822,iPhone 14 Pro VS iPhone XR Screen Brightness Test #iphonetricks #iphonehacks ,tiktok
duolingo,Education,Language Learning,"""why do you guys go to different schools?""",0,16400000,2500000,61400,45900,10.25,2024-02-12,https://www.tiktok.com/@duolingo/photo/7334741207785934123,"Bella, Where The Hell Have You Been, Loca!? #duolingo #alphawolf ",tiktok
duolingo,Education,Language Learning,"the person who,",0,15700000,2200000,77500,188700,9.8125,2024-02-21,https://www.tiktok.com/@duolingo/photo/7337757262573735210,#duolingo,tiktok
duolingo,Education,Language Learning,MAKKA PAKKA AKKA WAKKA MIKKA MAKKA MOO MAKKA PAKKA APPA YAKKA IKKA AKKA OO HUM DUM AGGA PANG ING ANG OO MAKKA PAKKA AKKA WAKKA MIKKA MAKKA MOO,0,15400000,2100000,80500,127700,9.625,2024-02-06,https://www.tiktok.com/@duolingo/photo/7332501593805606190,MAKKA PAKKA GANG PLZ RISE 🫡,tiktok
kadama,Education,Study Aids & Flashcards,Secrets your teachers don't want you to know,10,14900000,2500000,15900,180100,71.24073631,2021-04-01,https://www.tiktok.com/@kadama/video/6945901086305832197,your grades boutta 📈📈📈 #schoolhacks #collegehacks #lifehacks #essay #studyhacks,tiktok
kadama,Education,Study Aids & Flashcards,apple will never tell you this...,5,14700000,165600,1962,39500,70.28448482,2022-12-16,https://www.tiktok.com/@kadama/video/7177836990992305450,@kadama iPhone Tip to Easily Delete Contacts In Bulk 👍🏽 #iphonetricks #iphonetips ,tiktok
duolingo,Education,Language Learning,:A cold isn’t even that bad,0,14400000,2000000,32700,89900,9,2024-08-30,https://www.tiktok.com/@duolingo/photo/7408970606240075039,,tiktok
duolingo,Education,Language Learning,Duo Mask Filter,9,14000000,519200,82400,74400,8.75,2024-06-07,https://www.tiktok.com/@duolingo/video/7377784844257873194,new minion look unlocked 🗣️🔥💯 @Hiroyuki @Effect House #duolingo #effecthouse #languagelearning #sigma ,tiktok
plantinapp,Education,None,There is no text in this image.,15,13800000,23600,215,2419,14759.35829,2022-06-22,https://www.tiktok.com/@plantinapp/video/7112039359532059909,Shame on you for having plants dying! Check out PlantIn to see how we can help!,tiktok
duolingo,Education,Language Learning,oh so NOW you’re learning mandarin,0,13400000,1900000,14100,198700,8.375,2025-01-14,https://www.tiktok.com/@duolingo/photo/7459877982237150507,,tiktok
picsolve,Education,AI Study Tools,Study hack,8,13400000,1400000,1636,14600,1923.35295,2023-02-17,https://www.tiktok.com/@picsolve/video/7200961862375132462,Thank me later #studytok #smartway #picsolve ,tiktok
lengo.io,Education,Language Learning,"from ""trying to learn a language by studying hard with grammar books and dictionary""",7,12800000,163900,392,859,95.38002981,2023-03-05,https://www.tiktok.com/@lengo.io/video/7207130897592700165,download LENGO now!💪🏼 #lengo #languages #relatable #heartless #trend #languageapp ,tiktok
