style_key,style_name,source_category,core_intent
mystery_gap,Mystery Gap,Curiosity,Create an unanswered question the viewer wants resolved
authority_signal,Authority Signal,Expertise,Borrow credibility from expertise research data or experience
anti_advice,Anti-Advice,Contrarian,Challenge the obvious popular or default advice
inside_room,Inside Room,Insider,Reveal hidden rules incentives or behind-the-scenes knowledge
direct_diagnosis,Direct Diagnosis,Callout,Name the viewer's behavior problem or blind spot directly
before_after_arc,Before/After Arc,Transformation,Show a clear movement from bad state to better state
cost_alert,Cost Alert,Warning,Make the viewer feel the cost of continuing a mistake
deadline_pull,Deadline Pull,FOMO,Create urgency around timing opportunity or missed advantage
receipt_stack,Receipt Stack,Proof,Use evidence results examples or tests to support the claim
future_cast,Future Cast,Prediction,Show what is likely to happen next and why it matters
test_drive,Test Drive,Experiment,Show what happened after trying comparing or stress-testing something
pattern_break,Pattern Break,Shock,Open with a surprising result stat contrast or unexpected outcome
vulnerable_reveal,Vulnerable Reveal,Confession,Admit something honest uncomfortable or personal
viewer_dare,Viewer Dare,Challenge,Dare the viewer to prove skill knowledge or self-awareness
cold_open_story,Cold Open Story,Storytime,Start inside a specific moment that needs resolution
